type,id,lat,lon,tags
node,4418144289,53.44208,9.8858161,{'amenity': 'drinking_water'}
node,4423579633,53.556267,9.9783532,{'amenity': 'fountain'}
node,4552067628,53.4421613,9.8859981,"{'amenity': 'fountain', 'name': 'Sprudelstein'}"
node,4552448812,53.4424892,9.8848752,"{'amenity': 'fountain', 'name': 'Sprudelstein'}"
node,4678698422,53.5724799,10.0085364,"{'amenity': 'drinking_water', 'operator': 'Hamburg Wasser', 'wheelchair': 'yes'}"
node,4828488301,53.5683474,9.7562525,"{'amenity': 'drinking_water', 'wheelchair': 'yes'}"
node,4866067864,53.5683304,9.7562002,"{'amenity': 'drinking_water', 'wheelchair': 'yes'}"
node,4979653921,53.5517761,9.9989148,{'amenity': 'fountain'}
node,5064249664,53.5746096,10.0080008,{'amenity': 'fountain'}
node,5114511924,53.5564747,9.9795017,"{'amenity': 'fountain', 'name': 'Wassertreppen', 'name:de': 'Wassertreppen', 'name:en': 'Watersteps'}"
node,5114768409,53.4435438,9.8891961,{'amenity': 'fountain'}
node,5162964023,53.630182,10.0047086,"{'amenity': 'drinking_water', 'check_date': '2019-06-07'}"
node,5162978631,53.6332626,10.00467,{'amenity': 'drinking_water'}
node,5208797737,53.6009767,10.0730366,{'amenity': 'fountain'}
node,5211220460,53.5532589,10.0240361,{'amenity': 'drinking_water'}
node,5248120757,53.4560436,9.9875248,{'amenity': 'fountain'}
node,5338050103,53.6672025,9.9937405,{'amenity': 'fountain'}
node,5513918578,53.7075259,9.9942058,"{'amenity': 'fountain', 'name': 'Regentrude'}"
node,5661440661,53.5501912,10.0821469,{'amenity': 'fountain'}
node,5713873187,53.5496879,9.982568,{'amenity': 'fountain'}
node,5724076194,53.4592022,9.9810876,"{'amenity': 'drinking_water', 'opening_hours': '24/7'}"
node,5809273954,53.5856579,9.9821338,{'amenity': 'drinking_water'}
node,5981213423,53.6744698,10.2398291,{'amenity': 'fountain'}
node,5981213424,53.6739709,10.2397138,{'amenity': 'fountain'}
node,6075702947,53.6312726,10.0054623,"{'amenity': 'drinking_water', 'check_date': '2019-06-07', 'fixme': 'better position', 'level': '0', 'note': 'next to luggage belt 7'}"
node,6126346777,53.5671588,10.0412545,{'amenity': 'fountain'}
node,6309279669,53.5929561,9.936488,{'amenity': 'fountain'}
node,6426760687,53.6232741,10.0776708,{'amenity': 'drinking_water'}
node,6487428230,53.5634703,10.0736247,{'amenity': 'fountain'}
node,6542576093,53.5583272,9.8238643,{'amenity': 'fountain'}
node,6680240179,53.7068147,9.6839146,{'amenity': 'fountain'}
node,6699196385,53.6205305,10.0385597,{'amenity': 'fountain'}
