latitude,longitude,Name,Typ
47.04989828,8.28997281,Trinkbrunnen,unbekannt
47.0369527,8.312107131,Sternenbrunnen,FOUNTAIN_TYPE_DRINKING
47.03629043,8.308510604,Spielbrunnen HochrÃ¼tistrasse 5,type_spielbrunnen
47.05839755,8.310890219,Denkmalweiher,type_weiher
47.05377663,8.292137211,LÃ¤delibrunnen,FOUNTAIN_TYPE_DRINKING
47.05792992,8.313489161,Felsbergweiher,type_weiher
47.03611502,8.302481632,MilitÃ¤rgartenbrunnen,FOUNTAIN_TYPE_DRINKING
47.03765903,8.315495249,Dorfbrunnen,FOUNTAIN_TYPE_DRINKING
47.05731897,8.316522526,SchÃ¤flibrunnen oder Wandbrunnen,
47.03691504,8.314451573,Heidibrunnen,FOUNTAIN_TYPE_DRINKING
47.05840793,8.314100501,Seepferdchenbrunnen,FOUNTAIN_TYPE_DRINKING
47.05885119,8.313513205,Abendrainbrunnen2,unbekannt
47.0588399,8.313660489,Zierbrunnen,unbekannt
47.05941578,8.312711575,Kapuzinerbrunnen,FOUNTAIN_TYPE_DRINKING
47.0562221,8.292119128,Wandbrunnen St. Karli,type_zierbrunnen
47.03742691,8.294224329,Privater Brunnenanschluss,
47.06074753,8.305227261,SÃ¤ulenbrunnen,FOUNTAIN_TYPE_DRINKING
47.04063236,8.323987481,Privater Trinkbrunnen,unbekannt
47.04053362,8.323800071,Privater Trinkbrunnen,unbekannt
47.06148186,8.305446721,Fischspringbrunnen Rosenbergstrasse,FOUNTAIN_TYPE_DRINKING
47.04065532,8.324081789,Privater Brunnenanschluss,unbekannt
47.03421527,8.299484895,Murmattbrunnen,FOUNTAIN_TYPE_DRINKING
47.06001503,8.296223705,Friedhofbrunnen Ost III,FOUNTAIN_TYPE_DRINKING
47.06057574,8.297537114,Friedhofbrunnen Ost II,FOUNTAIN_TYPE_DRINKING
47.05966041,8.295064344,Friedhofbrunnen Ost,FOUNTAIN_TYPE_DRINKING
47.06103477,8.29891213,GrÃ¤berhallenbrunnen Ost,type_zierbrunnen
47.0593679,8.294183623,Friedhofbrunnen Ost,FOUNTAIN_TYPE_DRINKING
47.04030459,8.324354992,Schulhausbrunnen Wartegg,type_zierbrunnen
47.05917495,8.29362193,NoName,
47.06191791,8.308884731,Schulhausbrunnen Maihof,FOUNTAIN_TYPE_DRINKING
47.05812211,8.291750229,Privater Trinkbrunnen,unbekannt
47.06085162,8.297334914,Friedhofbrunnen,
47.06041749,8.295880293,Friedhofshallenbrunnen,type_sprudelbrunnen
47.05882409,8.292153764,Friedentalbrunnen,FOUNTAIN_TYPE_DRINKING
47.06084989,8.296944774,Friedhofbrunnen am Ende der Halle,FOUNTAIN_TYPE_DRINKING
