ID;GEST;NUM;Localisati;ADR_S;dep;ARRO;MODELE;NB;TYPE_ENP;CLASSEE;COMPTEUR;OUV_HIVER;SDF;EN_SERVICE;COMM;ADR_APUR;ARR;code;CFA;NUM1;LET;TYPV;LIBV;CLE;num_ox;ARRO1;QUA;A_BOIRE;Geo Shape;Geo Point
93.0;DPA;21;Fontaine Maubuée;122 rue Saint-Martin;75.0;75004;Modèle spécifique;1.0;Non;Oui;Oui;Non;;;;122 rue Saint Martin;104;7.0;8694;122;;RUE;SAINT MARTIN;8694-122;;4.0;13.0;1;"{""type"": ""Point"", ""coordinates"": [2.351228213973179, 48.86062210629526]}";48.8606221063,2.35122821397
112.0;DPA;12;Fontaine de l'Hôtel de Ville;Place de l'hôtel de Ville (côté Rivoli);75.0;75004;Fontaine ornementale;1.0;Non;Non;Oui;Non;;Oui;;pl de l hotel de Ville (cote Rivoli);104;12.0;4665;2;;PL;HOTEL DE VILLE;4665-2;numnr;4.0;13.0;0;"{""type"": ""Point"", ""coordinates"": [2.351758344209333, 48.857289644198744]}";48.8572896442,2.35175834421
395.0;DVD;10/117;;85 bis Boulevard Magenta;75.0;75010;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;85 bis Boulevard Magenta;110;14.0;5907;85;B;BD;MAGENTA;5907-85B;;10.0;37.0;1;"{""type"": ""Point"", ""coordinates"": [2.355054693902895, 48.87709131352774]}";48.8770913135,2.3550546939
622.0;DEVE;;Jardin du Moulin-de-la-Pointe;61 rue du Moulin-de-la-Pointe;75.0;75013;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;61 rue du Moulin de la Pointe;113;4.0;6589;61;;RUE;MOULIN DE LA POINTE;6589-61;;13.0;51.0;1;"{""type"": ""Point"", ""coordinates"": [2.357067028456602, 48.82108785433001]}";48.8210878543,2.35706702846
640.0;DEVE;;Jardin Îlot des Deux-Moulins;80 avenue Edison;75.0;75013;Modèle spécifique;1.0;Non;Non;Non;Non;Oui;Oui;;80 avenue Edison;113;7.0;3120;80;;AV;EDISON;3120-80;;13.0;50.0;1;"{""type"": ""Point"", ""coordinates"": [2.357738989365885, 48.83062906016396]}";48.8306290602,2.35773898937
150.0;EDP;13;;35 rue Poliveau;75.0;75005;Wallace;1.0;Non;;Oui;Non;;;;35 rue Poliveau;105;11.0;7576;35;;RUE;POLIVEAU;7576-35;;5.0;18.0;1;"{""type"": ""Point"", ""coordinates"": [2.358190936923783, 48.84007570571832]}";48.8400757057,2.35819093692
1145.0;DEVE;;Square de la Madone;30 Rue Marc Seguin;75.0;75018;Fontaine à l'Albien;1.0;Non;Non;Oui;Non;Oui;Oui;cf Albien;30 Rue Marc Seguin;118;5.0;6036;30;;RUE;MARC SEGUIN;6036-30;;18.0;72.0;1;"{""type"": ""Point"", ""coordinates"": [2.36145357510262, 48.89252554039187]}";48.8925255404,2.3614535751
115.0;DPA;13;Fontaine Eginhard;Rue Eginhard;75.0;75004;Fontaine ornementale;1.0;Non;Non;Oui;Non;;Oui;non accessible;Rue Eginhard;104;12.0;3172;1;;RUE;EGINHARD;3172-1;numnr;4.0;14.0;0;"{""type"": ""Point"", ""coordinates"": [2.361648533625204, 48.85411746385993]}";48.8541174639,2.36164853363
58.0;DEVE;;Square Georges-Cain;8 rue Payenne;75.0;75003;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;8 rue Payenne;103;4.0;7205;8;;RUE;PAYENNE;7205-8;;3.0;11.0;1;"{""type"": ""Point"", ""coordinates"": [2.362719912408141, 48.85800471180027]}";48.8580047118,2.36271991241
348.0;EDP;1;;Place de la République;75.0;75010;Arceau;1.0;Non;Non;Oui;Oui;;;;pl de la Republique;110;3.0;8159;1;;PL;REPUBLIQUE;8159-1;numnr;3.0;10.0;1;"{""type"": ""Point"", ""coordinates"": [2.364838460379737, 48.86704638229361]}";48.8670463823,2.36483846038
