,X,Y,X_dms,Y-dms,primaryind,nummer,brunnenart,historisch,wasserart_,bezeichnun,qid
65,8.506170093,47.36557611,"E8°30'22.21","N47°21'56.07",66,763,privater Brunnen,1945,Verteilnetz,am Kehrplatz innerhalb der Wohnkolonie,
66,8.498674327,47.36967909,"E8°29'55.22","N47°22'10.84",67,1149,öffentlicher Brunnen,1990,Verteilnetz,,
67,8.505280906,47.36914653,"E8°30'19.01","N47°22'8.927",68,208,öffentlicher Brunnen,1945,Verteilnetz,Tramschleife Heuried,
68,8.541051704,47.36950667,"E8°32'27.78","N47°22'10.22",69,519,Brunnen in städtischer Liegenschaft,1913,Quellwasser,im Durchgang Stadthaus u. Kirche,
69,8.502474095,47.3651631,"E8°30'8.906","N47°21'54.58",70,6048,Notwasserbrunnen,1983,Quellwasser,,
70,8.519050236,47.36863048,"E8°31'8.580","N47°22'7.069",71,6030,Notwasserbrunnen,1979,Quellwasser,bei Kollerwiese,
71,8.522758933,47.36854638,"E8°31'21.93","N47°22'6.766",72,987,Brunnen in städtischer Liegenschaft,1975,Verteilnetz,Spielplatz,
72,8.520373218,47.37123231,"E8°31'13.34","N47°22'16.43",73,172,öffentlicher Brunnen,1873,Quellwasser,,
73,8.520544997,47.37001647,"E8°31'13.96","N47°22'12.05",74,1167,öffentlicher Brunnen,1993,Quellwasser,Schmiede Wiedikon,
74,8.517801248,47.37059718,"E8°31'4.084","N47°22'14.14",75,171,öffentlicher Brunnen,1873,Verteilnetz,,
75,8.517577907,47.3693355,"E8°31'3.280","N47°22'9.607",76,178,öffentlicher Brunnen,1937,Verteilnetz,,
76,8.517197037,47.36835162,"E8°31'1.909","N47°22'6.065",77,183,öffentlicher Brunnen,1953,Verteilnetz,,
77,8.510675526,47.36797388,"E8°30'38.43","N47°22'4.705",78,206,öffentlicher Brunnen,1943,Verteilnetz,,
78,8.51592894,47.36606579,"E8°30'57.34","N47°21'57.83",79,6024,Notwasserbrunnen,1979,Quellwasser,,
79,8.516893649,47.36754315,"E8°31'0.817","N47°22'3.155",80,556,Brunnen in städtischer Liegenschaft,1938,Verteilnetz,Kindergartengebäude,
80,8.511914644,47.37017297,"E8°30'42.89","N47°22'12.62",81,6025,Notwasserbrunnen,1979,Quellwasser,,
81,8.513540724,47.37009687,"E8°30'48.74","N47°22'12.34",82,211,öffentlicher Brunnen,1959,Quellwasser,Goldbrunnenplatz,
82,8.530084006,47.36582012,"E8°31'48.30","N47°21'56.95",83,110,öffentlicher Brunnen,,Quellwasser,Gutenbergstrasse,
83,8.523383655,47.36912888,"E8°31'24.18","N47°22'8.863",84,209,öffentlicher Brunnen,1946,Verteilnetz,Anlage,Q27229965
84,8.530099258,47.37129871,"E8°31'48.35","N47°22'16.67",85,240,öffentlicher Brunnen,1950,Verteilnetz,,
85,8.528068486,47.3712296,"E8°31'41.04","N47°22'16.42",86,214.1,öffentlicher Brunnen,1987,Quellwasser,Trinkbrunnen,
86,8.495696715,47.36799782,"E8°29'44.50","N47°22'4.792",87,506,öffentlicher Brunnen,1970,Verteilnetz,Tramhaltestelle,Q27230049
87,8.495452387,47.36758336,"E8°29'43.62","N47°22'3.300",88,426,öffentlicher Brunnen,1941,Quellwasser,,
88,8.539589644,47.37164953,"E8°32'22.52","N47°22'17.93",89,760,privater Brunnen,,Quellwasser,neben der Augustinerkirche,
89,8.540088029,47.36931391,"E8°32'24.31","N47°22'9.530",90,35,öffentlicher Brunnen,1877,Verteilnetz,Zentralhof,Q29933547
90,8.534310548,47.36869646,"E8°32'3.517","N47°22'7.307",91,151,öffentlicher Brunnen,1940,Verteilnetz,,
91,8.532733321,47.3681853,"E8°31'57.83","N47°22'5.467",92,780,privater Brunnen,,Verteilnetz,,
92,8.532064547,47.36955657,"E8°31'55.43","N47°22'10.40",93,21,öffentlicher Brunnen,1859,Verteilnetz,,
93,8.541547564,47.36959811,"E8°32'29.57","N47°22'10.55",94,1090,öffentlicher Brunnen,1742,Quellwasser,Fraumünsterdurchgang,
94,8.541403554,47.37016689,"E8°32'29.05","N47°22'12.60",95,6006,Notwasserbrunnen,1977,Quellwasser,,
95,8.539410756,47.3700754,"E8°32'21.87","N47°22'12.27",96,3,öffentlicher Brunnen,1872,Quellwasser,Junobrunnen beim Paradeplatz,Q27229661
96,8.523651505,47.3670711,"E8°31'25.14","N47°22'1.455",97,198,öffentlicher Brunnen,1931,Verteilnetz,beim Kiosk (Anlagage Sihlhölzli),
97,8.526156915,47.36791603,"E8°31'34.16","N47°22'4.497",98,199.2,öffentlicher Brunnen,1931,Verteilnetz,,
98,8.525117298,47.36723656,"E8°31'30.42","N47°22'2.051",99,199.3,öffentlicher Brunnen,1931,Verteilnetz,,
99,8.537832832,47.36461877,"E8°32'16.19","N47°21'52.62",100,125,öffentlicher Brunnen,1909,Verteilnetz,Mosaikbrunnen,Q27229889
100,8.537253022,47.36725265,"E8°32'14.11","N47°22'2.109",101,6020,Notwasserbrunnen,1978,Quellwasser,,
101,8.531545602,47.36767194,"E8°31'53.56","N47°22'3.618",102,94,öffentlicher Brunnen,1770,Quellwasser,Delphinbrunnen,Q27230040
102,8.537319143,47.36843274,"E8°32'14.34","N47°22'6.357",103,54,öffentlicher Brunnen,1933,Verteilnetz,,Q27229935
103,8.536075237,47.36915037,"E8°32'9.870","N47°22'8.941",104,1065,öffentlicher Brunnen,1982,Verteilnetz,Bärenplätzli,Q27230009
104,8.535817637,47.37131347,"E8°32'8.943","N47°22'16.72",105,18,öffentlicher Brunnen,1820,Verteilnetz,,
105,8.541600027,47.36706996,"E8°32'29.76","N47°22'1.451",106,46,öffentlicher Brunnen,1911,Quellwasser,Geiserbrunnen,Q27229898
106,8.540008005,47.36701077,"E8°32'24.02","N47°22'1.238",107,45,öffentlicher Brunnen,1909,Verteilnetz,Rebekkabrunnen,Q27229666
107,8.535508349,47.36344544,"E8°32'7.830","N47°21'48.40",108,156,öffentlicher Brunnen,1945,Verteilnetz,,
108,8.495870657,47.36231803,"E8°29'45.13","N47°21'44.34",109,776,privater Brunnen,,Verteilnetz,Hotel Atlantis,
109,8.501453041,47.36398349,"E8°30'5.230","N47°21'50.34",110,196,öffentlicher Brunnen,1930,Verteilnetz,Spielplatz Friesenberg,Q27229685
110,8.505414953,47.36023746,"E8°30'19.49","N47°21'36.85",111,558.1,Brunnen in städtischer Liegenschaft,1931,Verteilnetz,Schulhaus Friesenberg,
111,8.505754471,47.35868427,"E8°30'20.71","N47°21'31.26",112,558.2,Brunnen in städtischer Liegenschaft,1931,Verteilnetz,Schulhaus Friesenberg,
112,8.526903194,47.35835454,"E8°31'36.85","N47°21'30.07",113,6064,Notwasserbrunnen,1987,Quellwasser,,
113,8.508963505,47.35763821,"E8°30'32.26","N47°21'27.49",114,204,öffentlicher Brunnen,1937,Quellwasser,,Q27230102
