lat,lon,wikidata
47.3553191,8.551538,Q55170997
47.3686821,8.5486661,Q55170103
47.378107,8.5381154,Q55170016
47.3525219,8.5751451,Q55169900
47.350839,8.5773366,Q55170363
47.357852,8.5774725,Q55170379
47.3674768,8.5484456,Q65548962
47.3739856,8.5526241,Q74369417
47.3820974,8.5487696,Q55170211
47.3605036,8.5477937,Q67588104
47.3602129,8.5479037,Q67588045
47.360331,8.5478232,Q67587947
47.3651803,8.5688256,Q74171778
